Key	Type	Desc	English	Japanese	Ukrainian	Chinese (Simplified)	Chinese (Traditional)
fisher_btn_on	Text		Enable auto-fishing	自動釣りをおまかせに	Увімкнути автоловлю	启用自动钓鱼	打開自動釣魚
fisher_btn_off	Text		Disalbe auto-fishing	自動釣りをやめる	Вимкнути автоловлю	停用自动钓鱼	關掉自動釣魚
